gene_id,gene_short_name,PS_cEpiblast,NP_Epiblast,Induced_5hrs,Induced_9hrs,Induced_12hrs,FC_0hrs,FC_5hrs,FC_9hrs,FC_12hrs,FC_PS,FC_NP
ENSGALG00000037875,RBP1,0,0,0,0,0,1,0,0,0,0,0
ENSGALG00000037913,KLF10,37.7502,25.9407,33.5267,24.4066,23.8199,1.166831212,1.086511414,0.765034825,1.009904054,0.844226972,0.898391666
ENSGALG00000037935,RARA,20.9834,10.7221,16.0035,19.1275,17.3527,1.186190521,0.537757437,0.521951858,0.415339065,0.691957381,0.291407341
ENSGALG00000038018,DNMT1,17.9787,29.8454,19.1416,25.9976,22.5705,0.866667363,1.215239377,1.553663099,1.432320091,1.142999733,1.520358626
ENSGALG00000038026,AEBP2,2.6246,8.04151,5.55289,6.82957,7.36722,1.472395455,0.492212029,0.644840479,0.577065334,0.479535775,1.263026044
ENSGALG00000038059,NR1H3,7.82275,10.1539,6.97934,7.85083,7.48862,1.442844166,0.884319333,0.981155066,0.78423081,0.806713581,1.266258627
ENSGALG00000038200,GATAD2B,13.196,15.6187,8.74726,11.675,8.86803,0.749176313,1.932630593,2.261970035,1.814055817,1.706620591,2.094271516
ENSGALG00000038265,CREB5,0.0840741,0.451287,0.3898,0.424891,0.179085,0.130753207,10.94418131,0.595554204,0.451244617,1.935260443,0.451287
ENSGALG00000038340,ZBTB14,8.84082,11.1737,12.2565,12.9521,11.6725,0.743102843,1.455110785,1.465216093,1.141073768,0.821309328,2.286871523
ENSGALG00000038372,PRDM8,0.141111,0.0777611,0.174941,0.105978,0.115204,0,0.174941,0.105978,0.284701765,2.901977962,1.915406538
ENSGALG00000038420,HSF2,71.5651,99.6309,80.0377,76.7015,79.5053,0.759864414,1.422715395,1.66573645,2.045336558,1.071619384,3.80135677
ENSGALG00000038425,POU3F2,0.588162,0.618274,0.39687,0.721057,1.43369,1.145478368,0.39687,12.70506665,15.61316712,1.064263445,1.911905771
ENSGALG00000038476,PRDM13,0,0,0,0.0640502,0,1,0,0.0640502,0,0,0
ENSGALG00000038488,GMEB1,14.7545,14.4271,10.671,12.7552,10.3087,0.941130166,0.954711377,1.283243845,0.991993764,1.113295103,1.204748146
ENSGALG00000038495,GRHL1,7.74628,4.24846,7.37431,7.44277,5.04259,2.752637196,0.304198121,0.222524957,0.161749007,0.317305337,0.217070479
ENSGALG00000038540,ZBTB16,0.592901,3.69936,1.12423,1.82559,2.64717,0.564072298,1.175914992,1.249385775,1.533204754,0.924627904,5.746712545
ENSGALG00000038618,ONECUT1,0.283636,0.30504,0.111428,0.269862,0.406814,2.237381987,0.232669536,0.780182483,0.657295519,0.709632869,0.732835871
ENSGALG00000038657,ZNF777,10.215,10.7903,9.0982,10.2842,10.391,0.832759227,1.115432052,0.89235388,0.920298648,1.205735121,0.843730452
ENSGALG00000038780,PRDM2,8.63054,11.8479,19.5275,16.6239,14.1878,1.101451799,0.743584666,0.776284515,0.584153361,0.731494682,1.144691458
ENSGALG00000038848,MSX2,0.0739832,0.325871,0.982013,0.554138,0.690965,8.982813873,0.069432107,0.014339969,0.01597703,0.018726416,0.002768046
